17384/vexite, 4, 7, 10474, 9365, 57.0%, 81.7, 13844
10588/liazz, 4, 7, 21020, 18516, 45.8%, 77.9, 30098
9115/dexter, 13, 16, 22621, 21003, 49.2%, 79.3, 31345
22460/riskyb0b, 2, 3, 2485, 2554, 51.3%, 79.3, 3718
21266/1eer, 2, 3, 4345, 4815, 45.6%, 65.9, 7346
23317/khan, 2, 3, 871, 729, 36.5%, 70.9, 1210
20387/xant3r, 2, 3, 2770, 2929, 55.5%, 74.7, 4201
20994/fl4mus, 2, 3, 2707, 2844, 56.9%, 73.8, 4071
16555/ax1le, 33, 37, 23259, 20239, 48.7%, 80.3, 32044
11840/boombl4, 30, 34, 23437, 24198, 40.7%, 75.3, 35478
16947/perfecto, 33, 37, 15790, 15078, 45.9%, 70.0, 25120
8528/hobbit, 33, 37, 27288, 24943, 46.7%, 79.4, 38190
8918/electronic, 33, 37, 30121, 26968, 49.9%, 82.2, 40821
15631/kscerato, 29, 29, 21600, 17061, 49.3%, 79.5, 29393
12553/yuurih, 29, 29, 23735, 20287, 44.3%, 83.4, 31890
12521/art, 29, 29, 21808, 22125, 36.3%, 77.0, 31409
2023/fallen, 29, 29, 32608, 28539, 30.8%, 71.1, 47335
10566/chelo, 29, 29, 20863, 19438, 60.3%, 76.8, 29588
16551/westmelon, 4, 10, 9681, 9172, 59.4%, 79.3, 13391
18744/z4kr, 4, 10, 9694, 8494, 45.5%, 77.8, 13088
20254/starry, 4, 10, 6606, 5948, 52.9%, 79.2, 9155
20702/jee, 4, 10, 2843, 2539, 30.5%, 67.5, 4273
22922/emiliaqaq, 4, 10, 2275, 2374, 64.0%, 67.6, 3643
11574/xiaosage, 0, 3, 16375, 16364, 48.1%, 80.0, 23331
5187/captainmo, 0, 3, 15581, 15064, 40.6%, 73.8, 21978
7026/dd, 0, 3, 17800, 16297, 42.1%, 81.2, 24271
12958/ae, 0, 3, 6668, 6477, 41.2%, 78.6, 9019
14561/18ym, 0, 3, 1995, 2048, 54.1%, 79.1, 2789
8711/sonic, 0, 3, 20277, 17812, 47.1%, 78.6, 27653
19128/slight, 1, 7, 9985, 9126, 28.3%, 72.3, 14359
8507/stanislaw, 0, 3, 25501, 26227, 47.6%, 72.7, 39782
11332/horvy, 0, 3, 4539, 4674, 42.6%, 68.3, 7066
13230/motm, 0, 3, 20681, 19626, 50.2%, 76.2, 28891
8950/kaze, 1, 9, 21421, 16540, 30.8%, 77.7, 28150
19645/jamyoung, 1, 9, 11180, 9261, 55.5%, 81.1, 14762
20895/mercury, 1, 9, 5620, 5125, 57.5%, 80.9, 7624
24036/zdr, 0, 3, 118, 118, 59.3%, 62.4, 192
8600/advent, 1, 9, 18633, 21763, 50.4%, 61.4, 33953
21239/martinezsa, 6, 13, 5745, 4899, 32.4%, 70.8, 8035
14736/dgt, 4, 8, 13497, 11062, 50.0%, 78.2, 18214
22613/huasopeek, 4, 8, 2069, 2076, 55.6%, 72.6, 3092
20607/buda, 4, 8, 4680, 5266, 52.0%, 68.1, 7905
12092/max, 4, 8, 14774, 14414, 46.0%, 77.6, 21801
18987/b1t, 34, 27, 12581, 11451, 66.6%, 75.1, 18126
19206/jl, 34, 27, 13816, 12679, 49.7%, 78.8, 18942
9816/aleksib, 34, 27, 20869, 21750, 39.9%, 73.0, 33319
14759/im, 34, 27, 20318, 19204, 47.3%, 81.5, 27736
20127/w0nderful, 31, 23, 9430, 7056, 36.8%, 77.3, 12234
11893/zywoo, 33, 17, 27759, 20053, 41.2%, 87.3, 33050
18462/mezii, 41, 26, 14376, 12950, 51.1%, 78.3, 20383
7322/apex, 33, 17, 40863, 40855, 51.1%, 77.4, 58706
18221/spinx, 33, 17, 13041, 11403, 55.1%, 77.8, 17845
16693/flamez, 33, 17, 12053, 11325, 52.1%, 78.3, 17072
150/maj3r, 22, 19, 22217, 23208, 47.9%, 72.4, 35000
21243/wicadia, 22, 19, 4251, 4285, 53.0%, 76.1, 6060
8575/calyx, 22, 19, 25339, 22246, 57.4%, 76.0, 35413
8574/woxic, 22, 19, 26689, 22215, 32.1%, 75.8, 36537
7938/xantares, 22, 19, 44345, 36920, 53.2%, 89.3, 54870
21167/donk, 37, 15, 8463, 6815, 61.0%, 87.2, 10154
16920/sh1ro, 26, 12, 22874, 15866, 28.5%, 78.4, 29619
7716/chopper, 38, 19, 23008, 23626, 57.2%, 71.3, 35722
20423/zont1x, 38, 19, 8856, 8439, 42.5%, 77.6, 13012
18317/magixx, 37, 15, 15047, 14441, 55.7%, 70.5, 23346
18141/biguzera, 13, 11, 18908, 16816, 51.3%, 80.6, 26228
20563/lux, 13, 11, 7723, 7298, 51.5%, 77.6, 11024
19694/nqz, 13, 11, 8554, 7060, 29.4%, 70.1, 12205
19686/n1ssim, 13, 11, 5686, 5268, 48.9%, 78.4, 8081
20085/kauez, 13, 11, 8533, 7996, 60.4%, 76.9, 11865
8738/elige, 29, 37, 36833, 33415, 48.9%, 83.1, 49048
11630/jt, 29, 37, 21553, 23266, 49.1%, 70.9, 34406
12713/floppy, 29, 37, 20150, 18497, 49.4%, 79.1, 28223
12840/hallzerk, 29, 37, 19129, 17273, 34.9%, 72.9, 26810
13578/grim, 29, 37, 21749, 20813, 48.9%, 78.0, 30411
13749/queenix, 8, 9, 15210, 15434, 56.6%, 71.3, 23805
20300/kraghen, 8, 9, 11820, 12073, 47.3%, 77.6, 17457
21379/salazar, 8, 13, 6164, 5694, 32.3%, 65.6, 9455
13077/patti, 8, 9, 9109, 9578, 49.3%, 72.9, 14108
8891/nodios, 8, 9, 20466, 19769, 54.8%, 75.5, 30209
8565/hen1, 2, 6, 27166, 21929, 29.7%, 74.9, 38569
12822/vini, 2, 6, 21387, 21440, 48.4%, 73.0, 32516
20183/decenty, 2, 6, 8107, 6899, 51.5%, 77.3, 11091
9219/felps, 2, 6, 25522, 23423, 43.4%, 84.3, 33663
22564/noway, 2, 6, 2489, 2303, 54.6%, 77.7, 3471
21809/910, 4, 7, 3229, 2891, 36.6%, 72.2, 4567
20275/techno, 4, 7, 7950, 8110, 59.9%, 73.8, 11743
20194/blitz, 4, 7, 9740, 8882, 49.0%, 83.3, 13142
20903/senzu, 4, 7, 3382, 3287, 60.6%, 79.1, 4681
21001/mzinho, 4, 7, 2312, 2450, 64.4%, 71.4, 3654
21163/susp, 8, 8, 6956, 6874, 50.0%, 77.5, 10203
20878/adamb, 5, 3, 8048, 8123, 53.2%, 75.2, 11940
16486/ztr, 5, 3, 12906, 13788, 50.1%, 71.2, 20244
13669/jackinho, 5, 3, 7938, 7797, 37.0%, 69.2, 11970
20119/nilo, 5, 3, 12067, 10908, 54.3%, 79.2, 16383
20462/story, 16, 10, 9697, 8683, 31.2%, 70.3, 14245
20464/ewjerkz, 16, 10, 9490, 9109, 49.6%, 80.2, 13280
20465/arrozdoce, 16, 10, 8291, 8378, 56.3%, 73.4, 12495
2241/roman, 16, 10, 26651, 26957, 53.9%, 73.0, 39864
630/mutiris, 16, 10, 28745, 28522, 50.1%, 76.9, 42332
20123/regali, 8, 13, 8911, 7170, 34.8%, 73.9, 11824
19817/s0und, 0, 2, 7461, 7474, 60.6%, 74.7, 10766
16885/woro2k, 37, 25, 16331, 13464, 34.1%, 78.5, 21329
12731/sdy, 35, 21, 27756, 25187, 49.6%, 76.8, 39938
19733/demqq, 37, 25, 15741, 15544, 53.4%, 74.6, 23717
20282/krasnal, 37, 25, 10905, 11074, 46.8%, 75.3, 16199
20794/leen, 2, 2, 834, 881, 54.8%, 73.0, 1249
15117/keoz, 17, 29, 18918, 20114, 55.0%, 73.8, 28557
20358/volt, 16, 26, 9267, 9123, 52.2%, 74.5, 13909
2553/snax, 17, 29, 45198, 42518, 37.4%, 74.8, 64781
17937/isak, 17, 29, 14662, 15004, 49.3%, 72.2, 22793
10330/acor, 17, 29, 23998, 21531, 37.1%, 72.6, 34187
19711/snav, 0, 2, 7102, 7214, 46.4%, 77.8, 10587
20983/mrc9, 0, 2, 1228, 1215, 53.6%, 72.0, 1841
22135/peeping, 0, 2, 2561, 2866, 57.2%, 70.6, 3952
19710/dare, 0, 2, 8110, 7389, 38.7%, 80.2, 10587
19709/shane, 0, 2, 6680, 6684, 58.2%, 70.4, 9955
